 localhost-- [2023_7_3_23_6_31] "GET / HTTP/1.1" 200 3287 "Mozilla/5.0"
 localhost-- [2023_7_3_23_6_31] "GET /css/style.css HTTP/1.1" 200 1277 "Mozilla/5.0" "http://localhost:8888/"
 localhost-- [2023_7_3_23_6_31] "GET /css/index.css HTTP/1.1" 200 1005 "Mozilla/5.0" "http://localhost:8888/"
 localhost-- [2023_7_3_23_6_31] "GET /css/img/background.jpg HTTP/1.1" 200 2330063 "Mozilla/5.0" "http://localhost:8888/css/style.css"
 localhost-- [2023_7_3_23_7_56] "GET /index.html HTTP/1.1" 200 3287 "Mozilla/5.0"
 localhost-- [2023_7_3_23_7_56] "GET /css/style.css HTTP/1.1" 200 1277 "Mozilla/5.0" "http://localhost:8888/index.html"
 localhost-- [2023_7_3_23_7_56] "GET /css/index.css HTTP/1.1" 200 1005 "Mozilla/5.0" "http://localhost:8888/index.html"
 localhost-- [2023_7_3_23_7_56] "GET /css/img/background.jpg HTTP/1.1" 200 2330063 "Mozilla/5.0" "http://localhost:8888/css/style.css"
 localhost-- [2023_7_3_23_8_40] "GET /calculator.html HTTP/1.1" 200 830 "Mozilla/5.0"
 localhost-- [2023_7_3_23_8_40] "GET /css/style.css HTTP/1.1" 200 1277 "Mozilla/5.0" "http://localhost:8888/calculator.html"
 localhost-- [2023_7_3_23_8_40] "GET /css/cal.css HTTP/1.1" 200 572 "Mozilla/5.0" "http://localhost:8888/calculator.html"
 localhost-- [2023_7_3_23_8_40] "GET /css/img/background.jpg HTTP/1.1" 200 2330063 "Mozilla/5.0" "http://localhost:8888/css/style.css"
 localhost-- [2023_7_3_23_9_45] "GET /dataQuery.html HTTP/1.1" 200 719 "Mozilla/5.0"
 localhost-- [2023_7_3_23_9_45] "GET /css/style.css HTTP/1.1" 200 1277 "Mozilla/5.0" "http://localhost:8888/dataQuery.html"
 localhost-- [2023_7_3_23_9_45] "GET /css/query.css HTTP/1.1" 200 572 "Mozilla/5.0" "http://localhost:8888/dataQuery.html"
 localhost-- [2023_7_3_23_9_46] "GET /css/img/background.jpg HTTP/1.1" 200 2330063 "Mozilla/5.0" "http://localhost:8888/css/style.css"
 localhost-- [2023_7_3_23_10_40] "GET /index.html HTTP/1.1" 200 3287 "Mozilla/5.0" "http://localhost:8888/dataQuery.html"
 localhost-- [2023_7_3_23_10_40] "GET /css/style.css HTTP/1.1" 200 1277 "Mozilla/5.0" "http://localhost:8888/index.html"
 localhost-- [2023_7_3_23_10_40] "GET /css/index.css HTTP/1.1" 200 1005 "Mozilla/5.0" "http://localhost:8888/index.html"
 localhost-- [2023_7_3_23_10_41] "GET /css/img/background.jpg HTTP/1.1" 200 2330063 "Mozilla/5.0" "http://localhost:8888/css/style.css"
 localhost-- [2023_7_3_23_10_42] "GET /calculator.html HTTP/1.1" 200 830 "Mozilla/5.0" "http://localhost:8888/index.html"
 localhost-- [2023_7_3_23_10_42] "GET /css/style.css HTTP/1.1" 200 1277 "Mozilla/5.0" "http://localhost:8888/calculator.html"
 localhost-- [2023_7_3_23_10_42] "GET /css/cal.css HTTP/1.1" 200 572 "Mozilla/5.0" "http://localhost:8888/calculator.html"
 localhost-- [2023_7_3_23_10_42] "GET /css/img/background.jpg HTTP/1.1" 200 2330063 "Mozilla/5.0" "http://localhost:8888/css/style.css"
 localhost-- [2023_7_3_23_12_4] "POST /cgi-bin/calculator.py HTTP/1.1" 200 456 "Mozilla/5.0" "http://localhost:8888/calculator.html"
 localhost-- [2023_7_3_23_12_4] "GET /css/style.css HTTP/1.1" 200 1277 "Mozilla/5.0" "http://localhost:8888/cgi-bin/calculator.py"
 localhost-- [2023_7_3_23_12_4] "GET /css/cal.css HTTP/1.1" 200 572 "Mozilla/5.0" "http://localhost:8888/cgi-bin/calculator.py"
 localhost-- [2023_7_3_23_12_4] "GET /css/img/background.jpg HTTP/1.1" 200 2330063 "Mozilla/5.0" "http://localhost:8888/css/style.css"
 localhost-- [2023_7_3_23_13_58] "GET /calculator.html HTTP/1.1" 200 830 "Mozilla/5.0" "http://localhost:8888/cgi-bin/calculator.py"
 localhost-- [2023_7_3_23_13_58] "GET /css/style.css HTTP/1.1" 200 1277 "Mozilla/5.0" "http://localhost:8888/calculator.html"
 localhost-- [2023_7_3_23_13_58] "GET /css/cal.css HTTP/1.1" 200 572 "Mozilla/5.0" "http://localhost:8888/calculator.html"
 localhost-- [2023_7_3_23_13_58] "GET /css/img/background.jpg HTTP/1.1" 200 2330063 "Mozilla/5.0" "http://localhost:8888/css/style.css"
 localhost-- [2023_7_3_23_13_59] "GET /index.html HTTP/1.1" 200 3287 "Mozilla/5.0" "http://localhost:8888/calculator.html"
 localhost-- [2023_7_3_23_13_59] "GET /css/style.css HTTP/1.1" 200 1277 "Mozilla/5.0" "http://localhost:8888/index.html"
 localhost-- [2023_7_3_23_13_59] "GET /css/index.css HTTP/1.1" 200 1005 "Mozilla/5.0" "http://localhost:8888/index.html"
 localhost-- [2023_7_3_23_14_0] "GET /css/img/background.jpg HTTP/1.1" 200 2330063 "Mozilla/5.0" "http://localhost:8888/css/style.css"
 localhost-- [2023_7_3_23_14_1] "GET /dataQuery.html HTTP/1.1" 200 719 "Mozilla/5.0" "http://localhost:8888/index.html"
 localhost-- [2023_7_3_23_14_1] "GET /css/query.css HTTP/1.1" 200 572 "Mozilla/5.0" "http://localhost:8888/dataQuery.html"
 localhost-- [2023_7_3_23_14_1] "GET /css/style.css HTTP/1.1" 200 1277 "Mozilla/5.0" "http://localhost:8888/dataQuery.html"
 localhost-- [2023_7_3_23_14_1] "GET /css/img/background.jpg HTTP/1.1" 200 2330063 "Mozilla/5.0" "http://localhost:8888/css/style.css"
 localhost-- [2023_7_3_23_14_22] "POST /cgi-bin/query.py HTTP/1.1" 200 601 "Mozilla/5.0" "http://localhost:8888/dataQuery.html"
 localhost-- [2023_7_3_23_14_22] "GET /css/style.css HTTP/1.1" 200 1277 "Mozilla/5.0" "http://localhost:8888/cgi-bin/query.py"
 localhost-- [2023_7_3_23_14_22] "GET /css/query.css HTTP/1.1" 200 572 "Mozilla/5.0" "http://localhost:8888/cgi-bin/query.py"
 localhost-- [2023_7_3_23_14_23] "GET /css/img/background.jpg HTTP/1.1" 200 2330063 "Mozilla/5.0" "http://localhost:8888/css/style.css"
 localhost-- [2023_7_3_23_15_13] "GET /dataQuery.html HTTP/1.1" 200 719 "Mozilla/5.0" "http://localhost:8888/cgi-bin/query.py"
 localhost-- [2023_7_3_23_15_13] "GET /css/style.css HTTP/1.1" 200 1277 "Mozilla/5.0" "http://localhost:8888/dataQuery.html"
 localhost-- [2023_7_3_23_15_14] "GET /css/query.css HTTP/1.1" 200 572 "Mozilla/5.0" "http://localhost:8888/dataQuery.html"
 localhost-- [2023_7_3_23_15_14] "GET /css/img/background.jpg HTTP/1.1" 200 2330063 "Mozilla/5.0" "http://localhost:8888/css/style.css"
 localhost-- [2023_7_3_23_15_38] "POST /cgi-bin/query.py HTTP/1.1" 200 601 "Mozilla/5.0" "http://localhost:8888/dataQuery.html"
 localhost-- [2023_7_3_23_15_38] "GET /css/style.css HTTP/1.1" 200 1277 "Mozilla/5.0" "http://localhost:8888/cgi-bin/query.py"
 localhost-- [2023_7_3_23_15_39] "GET /css/query.css HTTP/1.1" 200 572 "Mozilla/5.0" "http://localhost:8888/cgi-bin/query.py"
 localhost-- [2023_7_3_23_15_39] "GET /css/img/background.jpg HTTP/1.1" 200 2330063 "Mozilla/5.0" "http://localhost:8888/css/style.css"
