 127.0.0.1-- [2023_7_4_10_17_26] "GET /x HTTP/1.1" 404 520 "Mozilla/5.0"
 127.0.0.1-- [2023_7_4_10_17_26] "GET /css/error.css HTTP/1.1" 200 462 "Mozilla/5.0" "http://127.0.0.1:8888/x"
 127.0.0.1-- [2023_7_4_10_17_26] "GET /css/style.css HTTP/1.1" 200 1277 "Mozilla/5.0" "http://127.0.0.1:8888/x"
 127.0.0.1-- [2023_7_4_10_17_26] "GET /css/img/background.jpg HTTP/1.1" 200 2330063 "Mozilla/5.0" "http://127.0.0.1:8888/css/style.css"
 127.0.0.1-- [2023_7_4_10_17_40] "GET /index.html HTTP/1.1" 200 3287 "Mozilla/5.0" "http://127.0.0.1:8888/x"
 127.0.0.1-- [2023_7_4_10_17_40] "GET /css/style.css HTTP/1.1" 200 1277 "Mozilla/5.0" "http://127.0.0.1:8888/index.html"
 127.0.0.1-- [2023_7_4_10_17_40] "GET /css/index.css HTTP/1.1" 200 1005 "Mozilla/5.0" "http://127.0.0.1:8888/index.html"
 127.0.0.1-- [2023_7_4_10_17_40] "GET /css/img/background.jpg HTTP/1.1" 200 2330063 "Mozilla/5.0" "http://127.0.0.1:8888/css/style.css"
 127.0.0.1-- [2023_7_4_10_18_21] "GET /calculator.html HTTP/1.1" 200 830 "Mozilla/5.0" "http://127.0.0.1:8888/index.html"
 127.0.0.1-- [2023_7_4_10_18_21] "GET /css/style.css HTTP/1.1" 200 1277 "Mozilla/5.0" "http://127.0.0.1:8888/calculator.html"
 127.0.0.1-- [2023_7_4_10_18_21] "GET /css/cal.css HTTP/1.1" 200 572 "Mozilla/5.0" "http://127.0.0.1:8888/calculator.html"
 127.0.0.1-- [2023_7_4_10_18_21] "GET /css/img/background.jpg HTTP/1.1" 200 2330063 "Mozilla/5.0" "http://127.0.0.1:8888/css/style.css"
 127.0.0.1-- [2023_7_4_10_18_25] "GET /index.html HTTP/1.1" 200 3287 "Mozilla/5.0" "http://127.0.0.1:8888/calculator.html"
 127.0.0.1-- [2023_7_4_10_18_25] "GET /css/index.css HTTP/1.1" 200 1005 "Mozilla/5.0" "http://127.0.0.1:8888/index.html"
 127.0.0.1-- [2023_7_4_10_18_25] "GET /css/img/background.jpg HTTP/1.1" 200 2330063 "Mozilla/5.0" "http://127.0.0.1:8888/css/style.css"
 127.0.0.1-- [2023_7_4_10_18_26] "GET /dataQuery.html HTTP/1.1" 200 719 "Mozilla/5.0" "http://127.0.0.1:8888/index.html"
 127.0.0.1-- [2023_7_4_10_18_26] "GET /css/style.css HTTP/1.1" 200 1277 "Mozilla/5.0" "http://127.0.0.1:8888/dataQuery.html"
 127.0.0.1-- [2023_7_4_10_18_26] "GET /css/query.css HTTP/1.1" 200 572 "Mozilla/5.0" "http://127.0.0.1:8888/dataQuery.html"
 127.0.0.1-- [2023_7_4_10_18_26] "GET /css/img/background.jpg HTTP/1.1" 200 2330063 "Mozilla/5.0" "http://127.0.0.1:8888/css/style.css"
 127.0.0.1-- [2023_7_4_10_18_29] "POST /cgi-bin/query.py HTTP/1.1" 200 601 "Mozilla/5.0" "http://127.0.0.1:8888/dataQuery.html"
 127.0.0.1-- [2023_7_4_10_18_29] "GET /css/style.css HTTP/1.1" 200 1277 "Mozilla/5.0" "http://127.0.0.1:8888/cgi-bin/query.py"
 127.0.0.1-- [2023_7_4_10_18_29] "GET /css/query.css HTTP/1.1" 200 572 "Mozilla/5.0" "http://127.0.0.1:8888/cgi-bin/query.py"
 127.0.0.1-- [2023_7_4_10_18_29] "GET /css/img/background.jpg HTTP/1.1" 200 2330063 "Mozilla/5.0" "http://127.0.0.1:8888/css/style.css"
 127.0.0.1-- [2023_7_4_10_18_30] "GET /dataQuery.html HTTP/1.1" 200 719 "Mozilla/5.0" "http://127.0.0.1:8888/cgi-bin/query.py"
